City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
162,Daru,PG,87.33,broken clouds,-9.0763,143.2092,Daru Lodge
164,George Town,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
180,Makakilo City,US,77.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
181,Labuhan,ID,85.89,overcast clouds,-6.8844,112.2051,DoubleFAG
184,Honiara,SB,83.64,overcast clouds,-9.4333,159.95,Heritage Park Hotel
185,Kavaratti,IN,82.53,scattered clouds,10.5669,72.642,Green leaf
187,Biak,ID,82.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
190,Kalmunai,LK,83.68,overcast clouds,7.4167,81.8167,VS Villa
191,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
197,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
198,San Fernando,PH,88.9,scattered clouds,15.0286,120.6898,Maharlika Hostel
202,Vaitape,PF,77.14,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
205,San Andrés,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
206,Vao,NC,76.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
213,Bonthe,SL,76.41,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
215,Kieta,PG,82.49,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
217,Hirara,JP,75.47,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
227,Aloleng,PH,83.32,scattered clouds,16.1307,119.7824,Aloleng
241,Dicabisagan,PH,85.84,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
242,Bengkulu,ID,84.33,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
249,Christchurch,NZ,75.4,light rain,-43.5333,172.6333,The George
252,Camaçari,BR,78.57,broken clouds,-12.6975,-38.3242,Sítio Blasi
264,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
268,‘Āhuimanu,US,78.85,clear sky,21.4447,-157.8378,Paradise Bay Resort
270,Dwārka,IN,85.26,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
271,Namatanai,PG,84.04,light rain,-3.6667,152.4333,Seagulls Inn Namatani
273,Tagusao,PH,83.12,overcast clouds,9.1924,117.8141,Caycay future beach resort
280,Meulaboh,ID,82.67,overcast clouds,4.1363,96.1285,Kost Pria
281,Ampanihy,MG,77.83,broken clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
282,Esim,GH,77.22,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
283,Kailua,US,79.14,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
290,Benguela,AO,77.43,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
303,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
304,Teshie,GH,78.55,light rain,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
312,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
316,Touros,BR,76.37,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
319,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
321,Bambanglipuro,ID,82.58,overcast clouds,-7.95,110.2833,Puri Brata
323,Kawalu,ID,83.5,broken clouds,-7.3817,108.2082,West Jontor
326,Charters Towers,AU,85.26,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
329,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
