City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Koshurnikovo,RU,54.1667,93.3,35.92,67,10,3.4,clear sky
178,Andenes,NO,69.3143,16.1194,45.93,81,0,9.22,clear sky
179,Beloha,MG,-25.1667,45.05,78.6,66,46,9.19,scattered clouds
180,Makakilo City,US,21.3469,-158.0858,77.68,67,0,8.05,clear sky
181,Labuhan,ID,-6.8844,112.2051,85.89,64,90,6.42,overcast clouds
182,Meadow Lake,US,34.8014,-106.5436,58.41,37,93,12.15,overcast clouds
183,São Félix do Xingu,BR,-6.6447,-51.995,70.41,99,100,1.52,overcast clouds
184,Honiara,SB,-9.4333,159.95,83.64,77,96,1.16,overcast clouds
185,Kavaratti,IN,10.5669,72.642,82.53,67,44,9.35,scattered clouds
186,Zhangaözen,KZ,43.3,52.8,45.32,71,100,16.78,overcast clouds
187,Biak,ID,-0.9131,122.8766,82.04,75,100,2.24,overcast clouds
188,Inowrocław,PL,52.7989,18.2639,53.11,92,63,6.69,broken clouds
189,Lebu,CL,-37.6167,-73.65,53.15,87,2,1.86,clear sky
190,Kalmunai,LK,7.4167,81.8167,83.68,69,87,3.98,overcast clouds
191,Lamu,KE,-2.2717,40.902,79.02,80,50,8.9,light rain
192,Carauari,BR,-4.8828,-66.8958,63.64,97,100,5.77,moderate rain
193,Barberton,ZA,-25.7884,31.0532,59.18,84,100,1.95,overcast clouds
194,Tiznit Province,MA,29.5833,-9.5,68.7,25,97,1.21,overcast clouds
195,Jamestown,US,42.097,-79.2353,53.24,95,100,4.61,mist
196,Westport,US,41.1415,-73.3579,59.94,87,0,4.61,clear sky
197,Salalah,OM,17.0151,54.0924,84.29,58,20,1.14,few clouds
198,San Fernando,PH,15.0286,120.6898,88.9,60,49,6.46,scattered clouds
199,Bergen,NO,60.392,5.328,49.87,92,75,10.36,light rain
200,Codrington,AU,-38.2667,141.9667,51.78,80,99,16.67,overcast clouds
201,Luga,RU,58.7372,29.8453,43.23,97,100,3.87,overcast clouds
202,Vaitape,PF,-16.5167,-151.75,77.14,81,56,13.91,light rain
203,Iquitos,PE,-3.7481,-73.2472,66.24,94,100,8.05,overcast clouds
204,Young,UY,-32.6833,-57.6333,45.45,50,0,5.26,clear sky
205,San Andrés,CO,12.5847,-81.7006,80.62,89,20,3.44,few clouds
206,Vao,NC,-22.6667,167.4833,76.32,77,78,9.22,broken clouds
207,Murray Bridge,AU,-35.1167,139.2667,60.12,59,98,15.5,overcast clouds
208,Øksfjord,NO,70.2396,22.3479,44.78,90,73,11.97,broken clouds
209,Rocha,UY,-34.4833,-54.3333,40.46,88,0,4.29,clear sky
210,Starkville,US,33.4504,-88.8184,60.67,88,0,0.0,clear sky
211,Talcahuano,CL,-36.7167,-73.1167,53.28,94,100,14.97,overcast clouds
212,Finnsnes,NO,69.2296,17.9811,29.01,94,99,6.69,overcast clouds
213,Bonthe,SL,7.5264,-12.505,76.41,87,99,7.36,overcast clouds
214,Marsabit,KE,2.3284,37.9899,64.42,86,56,16.51,light rain
215,Kieta,PG,-6.2167,155.6333,82.49,80,80,2.39,moderate rain
216,Sørland,NO,67.667,12.6934,51.66,74,100,27.63,overcast clouds
217,Hirara,JP,24.8,125.2833,75.47,94,75,19.57,light intensity shower rain
218,Ketchikan,US,55.3422,-131.6461,35.37,78,6,5.17,clear sky
219,Ukiah,US,39.1502,-123.2078,46.36,89,0,0.0,clear sky
220,Deputatsky,RU,69.3,139.9,-8.37,99,72,4.54,broken clouds
221,Bollnäs,SE,61.3482,16.3946,47.44,97,100,4.56,overcast clouds
222,San Juan,AR,-31.5375,-68.5364,59.25,12,0,5.86,clear sky
223,Tonalá,MX,20.6167,-103.2333,59.92,48,0,0.0,clear sky
224,Orangeburg,US,33.4918,-80.8557,57.49,94,0,0.0,clear sky
225,Krasnosel'kup,RU,65.7,82.4667,17.2,93,100,11.25,overcast clouds
226,Altar,MX,30.7,-111.8167,67.82,37,8,5.26,clear sky
227,Aloleng,PH,16.1307,119.7824,83.32,73,45,11.07,scattered clouds
228,Lyngseidet,NO,69.5763,20.2189,44.6,87,96,16.37,overcast clouds
229,Moscow,RU,55.7522,37.6156,35.38,99,100,2.86,overcast clouds
230,Port Shepstone,ZA,-30.7414,30.455,65.28,81,100,14.76,light rain
231,Freeport,US,40.6576,-73.5832,61.97,85,0,9.22,clear sky
232,Esqueda,MX,30.7167,-109.5833,58.78,43,81,5.39,broken clouds
233,Bakchar,RU,57.0186,82.0711,34.84,77,56,5.28,broken clouds
234,Lowestoft,GB,52.4752,1.7516,48.45,83,47,22.93,scattered clouds
235,Ribeira Grande,PT,38.5167,-28.7,68.77,96,100,11.01,light rain
236,Shizuishan,CN,39.2333,106.7694,50.72,32,100,7.67,overcast clouds
237,Janaúba,BR,-15.8025,-43.3089,74.05,85,93,6.15,moderate rain
238,Sept-Îles,CA,50.2001,-66.3821,42.06,96,100,5.75,mist
239,Chokurdakh,RU,70.6333,147.9167,-1.79,92,100,7.11,overcast clouds
240,Evanston,US,42.0411,-87.6901,55.96,69,0,4.61,clear sky
241,Dicabisagan,PH,17.0818,122.4157,85.84,73,25,8.5,scattered clouds
242,Bengkulu,ID,-3.8004,102.2655,84.33,66,38,7.34,scattered clouds
243,Pombia,IT,45.653,8.6336,54.03,95,8,1.01,clear sky
